year,date,name,iso_a3,currency_code,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adj,EUR_adj,GBP_adj,JPY_adj,CNY_adj,"Gross domestic product per capita, current prices (National currency)","Gross domestic product per capita, current prices (U.S. dollars)","Inflation, average consumer prices (Index)","Inflation, average consumer prices (Percent change)",Unemployment rate (Percent of total labor force)
2002,2002-04-01,Malaysia,MYS,MYR,5.04,3.8,1.3263157894736843,-0.46734,-0.44186,-0.54035,-0.3419,0.04589,,,,,,,,"16,878.93","4,441.82",83.022,1.793,3.475
2002,2002-04-01,Mexico,MEX,MXN,21.9,9.28,2.3599137931034484,-0.05224,-0.0069,-0.18215,0.17095,0.86096,,,,,,,,"73,457.15","7,607.44",51.916,5.037,2.978
2002,2002-04-01,New Zealand,NZL,NZD,3.6,2.24,1.607142857142857,-0.35456,-0.32368,-0.44303,-0.20256,0.26735,,,,,,,,"33,823.90","15,701.88",105.373,2.677,5.3
2002,2002-04-01,Norway,NOR,NOK,35.0,8.56,4.0887850467289715,0.64208,0.72065,0.41701,1.02879,2.2243,,,,,,,,"343,286.20","42,997.96",85.476,1.287,3.889
2002,2002-04-01,Peru,PER,PEN,8.5,3.43,2.4781341107871717,-0.00477,0.04285,-0.14118,0.22961,0.95419,,,,,,,,"7,095.98","2,017.77",82.118,0.192,9.42
2002,2002-04-01,Philippines,PHL,PHP,65.0,51.0,1.2745098039215685,-0.48815,-0.46366,-0.55831,-0.36761,0.00504,,,,,,,,"54,199.07","1,050.30",63.808,2.751,11.4
2002,2002-04-01,Poland,POL,PLN,5.9,4.04,1.4603960396039604,-0.4135,-0.38543,-0.49388,-0.27538,0.15163,,,,,,,,"21,238.68","5,205.52",127.003,1.9,19.934
2002,2002-04-01,Russia,RUS,RUB,39.0,31.2,1.25,-0.49799,-0.47397,-0.5668,-0.37977,-0.01429,,,,,,,,"80,050.70","2,552.79",28.552,15.789,8.042
2002,2002-04-01,Singapore,SGP,SGD,3.3,1.82,1.813186813186813,-0.27181,-0.23697,-0.37162,-0.10033,0.42983,,,,,,,,"39,679.14","22,159.83",74.896,-0.391,3.55
2002,2002-04-01,South Africa,ZAF,ZAR,9.7,10.9,0.8899082568807338,-0.64261,-0.62551,-0.69159,-0.55844,-0.29824,,,,,,,,"29,353.45","2,791.18",45.85,9.145,27.8
2002,2002-04-01,South Korea,KOR,KRW,3100.0,1304.0,2.3773006134969323,-0.04526,0.00042,-0.17612,0.17958,0.87467,,,,,,,,,,,,
2002,2002-04-01,Sweden,SWE,SEK,26.0,10.4,2.5,0.00402,0.05206,-0.1336,0.24046,0.97143,,,,,,,,"290,616.00","29,846.19",83.504,1.936,5.95
2002,2002-04-01,Switzerland,CHE,CHF,6.3,1.66,3.7951807228915664,0.52417,0.5971,0.31526,0.8831,1.99277,,,,,,,,"66,719.96","42,807.41",94.758,0.641,2.546
2002,2002-04-01,Taiwan,TWN,TWD,70.0,34.8,2.0114942528735633,-0.19217,-0.15352,-0.3029,-0.00193,0.58621,,,,,,,,,,,,
2002,2002-04-01,Thailand,THA,THB,55.0,43.3,1.2702078521939955,-0.48988,-0.46547,-0.5598,-0.36974,0.00165,,,,,,,,"90,052.44","2,094.26",69.867,0.66,2.442
2002,2002-04-01,Turkey,TUR,TRY,4000000.0,1324500.0,3.020007550018875,0.21285,0.27089,0.04661,0.49848,1.38149,,,,,,,,"5,453.31","3,617.23",79.785,45.134,9.764
2002,2002-04-01,United States,USA,USD,2.49,1.0,2.49,0.0,0.04785,-0.13706,0.2355,0.96354,,,,,,,,"37,945.76","37,945.76",179.867,1.596,5.783
2002,2002-04-01,Venezuela,VEN,VEF,2500.0,857.0,2.9171528588098017,0.17155,0.2276,0.01097,0.44744,1.30038,,,,,,,,0.043,"3,778.26",35.679,22.434,15.996
2003,2003-04-01,Argentina,ARG,ARS,4.1,2.88,1.423611111111111,-0.47468,-0.52244,-0.54723,-0.34796,0.19066,,,,,,,,"11,098.37","3,761.09",36.946,13.443,17.25
2003,2003-04-01,Australia,AUS,AUD,3.0,1.61,1.8633540372670807,-0.31242,-0.37492,-0.40737,-0.14656,0.55844,,,,,,,,"41,747.90","27,213.27",79,2.731,5.942
2003,2003-04-01,Brazil,BRA,BRL,4.55,3.07,1.482084690553746,-0.45311,-0.50282,-0.52863,-0.32118,0.23956,,,,,,,,"9,506.78","3,089.14","14,329,200,077,485.90",14.714,13.7
2003,2003-04-01,Britain,GBR,GBP,1.99,0.632911392,3.1442000020122878,0.16022,0.05475,0.0,0.44009,1.62969,,,,,,,,,,,,
2003,2003-04-01,Canada,CAN,CAD,3.2,1.45,2.206896551724138,-0.18565,-0.25968,-0.29811,0.01079,0.84577,,,,,,,,"39,702.99","28,338.75",102.75,2.759,7.583
